section,photo_location,image_url,caption,photographer
section-24,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_008.jpg,,
section-25,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_007.jpg,"Top Left: Graduates celebrated at the conclusion of the Northeastern University 114th Commencement on May 6, 2016. Top Right: A graduate, seen though a tassel, celebrates after receiving her diploma during Commencement at TD Garden. Bottom Left: Secretary of State John Kerry delivered the Commencement address during the Northeastern University 114th Commencement at TD Garden in Boston on May 6, 2016.  Bottom Right: President Joseph E. Aoun speaks during the Northeastern University 114th Commencement at TD Garden in Boston on May 6, 2016. ",Top left and top right by Matthew Modoono. Bottom left and right by Adam Glanzman
section-25,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_006.jpg,,
section-25,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_005.jpg,,
section-25,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_004.jpg,,
section-26,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_003.jpg,"Left: Northeastern University celebrated its College of Professional Studies Graduation held in Matthews Arena on May 13, 2016. Right: Taylor Lawson DMSB'16, Hope Wierzbicki CAMD'16 and Taylor Niland DMSB'16 take photos in Krentzman Quad prior to graduation on May 4, 2016. ",Photos by Adam Glanzman
section-26,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_002.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_001.jpg,"Graduates prepare for Northeastern University's 114th Commencement in TD Garden in Boston on May 6, 2016. ",Photo by Billie Weiss for Northeastern University
section-27,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_036.jpg,"Left: Valkyrie, NASA's humanoid robot prototype that Northeastern researchers will perform advanced research and development on, poses for a portrait on April 8, 2016. Right: David Berroa, E'18, poses for a portrait on Jan. 15, 2016. ",Photos by Adam Glanzman
section-27,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_032.jpg,,
section-28,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_038.jpg,"Left: Kendall Coyne AMD'15/CPS'17 captain of the women's hockey team and a finalist for the Patty Kazmaier Award, given to the top collegiate women's hockey player in the nation poses for portraits in Matthews Arena on March 1, 2016. ",Photos by Adam Glanzman
section-28,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_037.jpg,"Kendall Coyne, AMD'15/CPS'17, captain of the women's hockey team and a finalist for the Patty Kazmaier Award, given to the top collegiate women's hockey player in the nation.",
